Sentences for language learning in English and Vosa	 Lusasi for vos apdav mu eng a vosa 
Good morning! I'm Veikko Pyhtilä from Finland.	Hava entan! Aj oo Veikko Pyhtilä ut Finlo.
I have developed Vosa, an easy, regular, artificial language that I am teaching you now.	Aj oo deeven Vosa, gnova, pöregliva, tevos, ko aj padaav tu jasi nen.
I form sentences from the most common Finnish words to the rarest ones.	Aj kautee lusasi ut tihnast fin sasi tu hitnast.
However, sometimes rarer words are included in sentences.	Amut, välna hitnapir sasi inoofta in lusasi.
To be, I am, you are, he/she is, we are, you are, they are.	Oo, aj oo, ja oo, hä oo, ajsi oo, jasi oo, häsi oo
Am I, are you, is he, is we, are you, are they?	Ooko aj, ooko ja, ooko hä, ooko ajsi, ooko jasi, ooko häsi?
Be, let be, let us be, be, let them be!	Oo ja, oo hä, oo ajsi, oo jasi, oo häsi!
I was, you were, he/she was, we were, you were, they were.	Aj ooen, ja ooen, hä ooen, ajsi ooen, jasi ooen, häsi ooen.
I have been, I had been	Aj oo ooen, aj ooen ooen
I would be, you would be, he/she would be, we would be, you would be, they would be	Aj ooif, ja ooif, hä ooif, ajsi ooif, jasi ooif, häsi ooif
Don't do it! Don't go there!	Ej ja tee it! Ej jasi tuu itle!
to exist	oo oonen
 I have to go to the store. I must do it.	Aj piit tuu fäflo. Aj piit tee it.
What do you do for work? What is your name? Where are you from? Can you speak English?	Ko ja tee mu tö? Ko oo jaof ersa? Kout ja oo? Davooko ja sasaa eng?
Yes, I can speak. I can only speak a little. No, I can not.	Je aj davoo. Aj davoo sasaa erisli ipri. Ej, aj ej davoo.
Are you at all interested in Vosa, whose words are logically derived from basic concepts and mainly also from shortened root words of Finnish and English?	Ooko ja ejri ruhamiien öb vosa, ko-of sasi oo tuvisdali deriiven ob besvososi a päsoli ali ob fin a eng uulen jursasi.
 There are few word inflections in Vosa, for example the plural is expressed with the -si ending.	Sasi tesakauutesi oo in vosa ipri, edkali sisakau kautsaata vy -si önrupa.
Opposites have been formed by reversing the order of the letters from beginning to end or from end to beginning or with the suffix -ej.	Ögiplosi oo kautee-en vy töön kirkasi jär ut nö tu ön taj ut ön tu nö taj vy ej-rupa.
one, many, big, small, good, bad, long, short, possible, impossible	is, si, piva, ipva, hava, ahva, luva , ulva, vova, ejvova
Adjectives have -va suffix. Verbs are formed with a doubled vowel.	Vasasi oof -va derusa. Tesasi kauteeta vy duuen vou.
